"year","co2_emission_per_cap_qt"
"1961",0.836046900792028
"1962",0.661428164381093
"1963",0.640001899360285
"1964",0.625646053941047
"1965",0.665524211218076
"1966",0.710891381561055
"1967",0.574162146975018
"1968",0.60545199674633
"1969",0.725149509123457
"1970",0.942934534989582
"1971",1.04223969658961
"1972",1.08067663654397
"1973",1.09819569131687
"1974",1.09736711056811
"1975",1.25012409495905
"1976",1.28528313553995
"1977",1.38884289658754
"1978",1.52920110964112
"1979",1.5426750986837
"1980",1.49525074931082
"1981",1.46043181655825
"1982",1.56673968353113
"1983",1.62905590778943
"1984",1.75044806018373
"1985",1.87105479144466
"1986",1.93943425697654
"1987",2.03841068876927
"1988",2.1509052249848
"1989",2.15307791087471
"1990",2.16770307659104
"1991",2.24590127565651
"1992",2.31420729031649
"1993",2.44280065934625
"1994",2.56599389177193
"1995",2.75575496636525
"1996",2.84430958153669
"1997",2.82056789057578
"1998",2.67674598026467
"1999",2.64864924664833
"2000",2.69686243322549
"2001",2.74212081298895
"2002",2.88522504139331
"2003",3.51224542766222
"2004",4.08013890554173
"2005",4.4411506949345
"2006",4.89272709798477
"2007",5.15356401658718
"2008",5.31115185538876
"2009",5.77814318390097
"2010",6.19485757472686
