region,month,sales
North America,Jan,1800
North America,Feb,1500
North America,Mar,1700
North America,Apr,1900
North America,May,1950
North America,Jun,2000
North America,Jul,2200
North America,Aug,2300
North America,Sep,2100
North America,Oct,1900
North America,Nov,2500
North America,Dec,2600
Europe,Jan,1900
Europe,Feb,1700
Europe,Mar,1400
Europe,Apr,1500
Europe,May,1600
Europe,Jun,1700
Europe,Jul,1900
Europe,Aug,1800
Europe,Sep,1700
Europe,Oct,2000
Europe,Nov,2200
Europe,Dec,2300
Asia/Pacific,Jan,2100
Asia/Pacific,Feb,2100
Asia/Pacific,Mar,2300
Asia/Pacific,Apr,2500
Asia/Pacific,May,2200
Asia/Pacific,Jun,2100
Asia/Pacific,Jul,1800
Asia/Pacific,Aug,1500
Asia/Pacific,Sep,1400
Asia/Pacific,Oct,1500
Asia/Pacific,Nov,1600
Asia/Pacific,Dec,1800
